Description,Name,GPS Location,Population within 3000 meters of GPS Location
PS0106053,Sokoine,"{""type"":""Point"",""coordinates"":[36.462245,-3.400471,0]}",8839
PS0106064,Ndinyika,"{""type"":""Point"",""coordinates"":[35.956388,-3.2203299,0]}",8849
PS0103063,Endabash-Laja,"{""type"":""Point"",""coordinates"":[35.5953383,-3.5717917,0]}",8883
PS0106002,Engaruka Chini,"{""type"":""Point"",""coordinates"":[36.004758,-3.00683,0]}",9008
PS0103018,Getamock,"{""type"":""Point"",""coordinates"":[35.711357,-3.519335,0]}",9069
PS0103054,Ayalaliyo,"{""type"":""Point"",""coordinates"":[35.674399,-3.587391,0]}",9097
PS0105097,Valeska,"{""type"":""Point"",""coordinates"":[36.91898,-3.51499,0]}",9122
PS0103093,Geer,"{""type"":""Point"",""coordinates"":[35.604545,-3.6320066,0]}",9215
PS0103102,Murus,"{""type"":""Point"",""coordinates"":[35.5733378,-3.6445576,0]}",9393
PS0103037,Oldeani,"{""type"":""Point"",""coordinates"":[35.5371269,-3.3598986,0]}",9393
PS0103092,Juhudi,"{""type"":""Point"",""coordinates"":[35.734148,-3.368767,0]}",9491
PS0101034,Lemugur,"{""type"":""Point"",""coordinates"":[36.5611199,-3.4318583,0]}",9534
PS0103052,Masabeda,"{""type"":""Point"",""coordinates"":[35.7098006,-3.5147953,0]}",9605
PS0101124,Eunoto,"{""type"":""Point"",""coordinates"":[36.5598478,-3.3373669,0]}",9678
PS0101037,Likamba,"{""type"":""Point"",""coordinates"":[36.5598477,-3.3373668,0]}",9678
PS0105037,Maroroni,"{""type"":""Point"",""coordinates"":[36.90921,-3.43609,0]}",9712
PS0101008,Engalaoni,"{""type"":""Point"",""coordinates"":[36.5442366,-3.2379416,0]}",9801
PS0103112,Tidivi,"{""type"":""Point"",""coordinates"":[35.8185589,-3.3368909,0]}",9813
PS0106037,Olarash,"{""type"":""Point"",""coordinates"":[36.475498,-3.311579,0]}",9843
PS0107016,Naiyobi,"{""type"":""Point"",""coordinates"":[35.8452233,-2.8473555,0]}",9903
PS0105073,Oldeves,"{""type"":""Point"",""coordinates"":[36.09753,-3.56185,0]}",9931
PS0103100,Aslin,"{""type"":""Point"",""coordinates"":[35.7828123,-3.3160236,0]}",9937
PS0106013,Makuyuni,"{""type"":""Point"",""coordinates"":[36.1000115,-3.5535675,0]}",9939
PS0104003,Engarenaibor,"{""type"":""Point"",""coordinates"":[36.4833333,-2.5166666,0]}",10014
PS0103079,Shauriawaki,"{""type"":""Point"",""coordinates"":[35.6912369,-3.5156849,0]}",10123
PS0103024,Kansay,"{""type"":""Point"",""coordinates"":[35.5949753,-3.6697136,0]}",10141
